Menu_ID,Restaurant_Name,Record_Type,Cuisine,Category,Item_Name,Description,Rating,Best_Pairing,Dietary_Tags,Spice_Level,Beverage_Type
FOOD-020,Saffron Table Bistro,Food,Indian Fusion,Main,Kerala Pepper Beef Bowl,"A hearty indian fusion main built around pepper-crusted beef strips with ghee rice and shallots, portioned for a full casual-dining entrée.",4.2,Masala Old Fashioned,Beef,Hot,
FOOD-021,Saffron Table Bistro,Food,Indian Fusion,Dessert,Rose Tres Leches,"A dessert inspired by indian fusion flavors with rose milk sponge soaked in three milks and topped with pistachio crumb, designed as a smooth and memorable finish.",4.8,Irish Cream Liqueur,Vegetarian,None,
FOOD-022,Saffron Table Bistro,Food,Indian Fusion,Dessert,Kulfi Tiramisu,"A dessert inspired by indian fusion flavors with saffron mascarpone and biscuit layers inspired by kulfi and tiramisu, designed as a smooth and memorable finish.",4.7,Coffee Liqueur Martini,Vegetarian,None,
FOOD-023,Saffron Table Bistro,Food,Indian Fusion,Dessert,Gulab Jamun Cheesecake,"A dessert inspired by indian fusion flavors with baked cheesecake with gulab jamun compote and cardamom cream, designed as a smooth and memorable finish.",4.5,XO Brandy Pour,Vegetarian,None,
FOOD-024,Saffron Table Bistro,Food,Indian Fusion,Dessert,Cardamom Churro Sticks,"A dessert inspired by indian fusion flavors with crisp churro sticks dusted with cardamom sugar and served with rabri dip, designed as a smooth and memorable finish.",4.4,Prosecco Brut,Vegetarian,None,
FOOD-025,Saffron Table Bistro,Food,Indian Fusion,Dessert,Jaggery Coconut Panna Cotta,"A dessert inspired by indian fusion flavors with silky coconut panna cotta topped with dark jaggery syrup, designed as a smooth and memorable finish.",4.9,Irish Cream Liqueur,Vegetarian,None,
FOOD-026,Saffron Table Bistro,Food,North Indian,Appetizer,Amritsari Fish Fingers,"A north indian starter featuring batter-fried fish strips with ajwain, gram flour, and mint chutney, plated for easy sharing and bold first impressions.",4.3,Belgian Wheat Beer,Seafood,Medium,
FOOD-027,Saffron Table Bistro,Food,North Indian,Appetizer,Dahi ke Kebab,"A north indian starter featuring soft hung-curd kebabs with saffron, nuts, and a crisp exterior, plated for easy sharing and bold first impressions.",4.2,Cucumber Gin Fizz,Vegetarian,Mild,
FOOD-028,Saffron Table Bistro,Food,North Indian,Appetizer,Tandoori Mushroom Seekh,"A north indian starter featuring minced mushroom seekh scented with garam masala and charred onions, plated for easy sharing and bold first impressions.",4.2,Saffron Gin & Tonic,Vegetarian,Medium,
FOOD-029,Saffron Table Bistro,Food,North Indian,Appetizer,Murgh Malai Tikka,"A north indian starter featuring cream-marinated chicken tikka with gentle spice and smoky edges, plated for easy sharing and bold first impressions.",4.6,Rosé by the Glass,Chicken,Mild,
FOOD-030,Saffron Table Bistro,Food,North Indian,Appetizer,Achaari Paneer Skewers,"A north indian starter featuring paneer cubes marinated in pickle spices and cooked over high heat, plated for easy sharing and bold first impressions.",4.5,Belgian Wheat Beer,Vegetarian,Medium,
FOOD-031,Saffron Table Bistro,Food,North Indian,Appetizer,Masala Papad Nachos,"A north indian starter featuring crisp papad topped with tomato, onion, chutneys, and sev, plated for easy sharing and bold first impressions.",4.6,Cucumber Gin Fizz,Vegetarian,Mild,
FOOD-032,Saffron Table Bistro,Food,North Indian,Appetizer,Lahori Mutton Samosa,"A north indian starter featuring flaky samosas filled with spiced minced mutton and herbs, plated for easy sharing and bold first impressions.",4.5,Saffron Gin & Tonic,Lamb,Medium,
FOOD-033,Saffron Table Bistro,Food,North Indian,Appetizer,Tandoori Broccoli Florets,"A north indian starter featuring broccoli florets in yogurt spice marinade with charred finish, plated for easy sharing and bold first impressions.",4.4,Rosé by the Glass,Vegetarian,Medium,
FOOD-034,Saffron Table Bistro,Food,North Indian,Main,Dal Bukhara,"A hearty north indian main built around overnight-simmered black lentils enriched with butter and cream, portioned for a full casual-dining entrée.",4.9,Masala Old Fashioned,Vegetarian,Mild,
FOOD-035,Saffron Table Bistro,Food,North Indian,Main,Murgh Makhani,"A hearty north indian main built around classic butter chicken with silky tomato gravy and fenugreek aroma, portioned for a full casual-dining entrée.",4.5,Tamarind Whiskey Sour,Chicken,Mild,
FOOD-036,Saffron Table Bistro,Food,North Indian,Main,Paneer Lababdar,"A hearty north indian main built around paneer cubes in a rich onion-tomato gravy with buttered finish, portioned for a full casual-dining entrée.",4.6,Malbec Reserve,Vegetarian,Mild,
FOOD-037,Saffron Table Bistro,Food,North Indian,Main,Nalli Nihari,"A hearty north indian main built around slow-cooked lamb shank stew with warm spice depth, portioned for a full casual-dining entrée.",4.8,Craft IPA,Lamb,Medium,
FOOD-038,Saffron Table Bistro,Food,North Indian,Main,Dum Aloo Banarasi,"A hearty north indian main built around baby potatoes braised in spiced yogurt gravy, portioned for a full casual-dining entrée.",4.6,Pinot Noir,Vegetarian,Medium,
FOOD-039,Saffron Table Bistro,Food,North Indian,Main,Kadhai Jhinga,"A hearty north indian main built around prawns tossed in bell pepper, tomato, and kadhai masala, portioned for a full casual-dining entrée.",4.8,Masala Old Fashioned,Seafood,Medium,
FOOD-040,Saffron Table Bistro,Food,North Indian,Main,Sarson Saag & Makki Roti Stack,"A hearty north indian main built around mustard greens and layered makki roti with white butter, portioned for a full casual-dining entrée.",4.6,Tamarind Whiskey Sour,Vegetarian,Mild,
FOOD-041,Saffron Table Bistro,Food,North Indian,Main,Chicken Tikka Masala Bowl,"A hearty north indian main built around charred tikka pieces finished in bold masala gravy with rice, portioned for a full casual-dining entrée.",4.7,Malbec Reserve,Chicken,Medium,
FOOD-042,Saffron Table Bistro,Food,North Indian,Main,Gosht Rogan Curry,"A hearty north indian main built around tender lamb cooked in Kashmiri chili and aromatic brown onion sauce, portioned for a full casual-dining entrée.",4.2,Craft IPA,Lamb,Medium,
FOOD-043,Saffron Table Bistro,Food,North Indian,Main,Paneer Khurchan,"A hearty north indian main built around julienned paneer stir-cooked with onions, capsicum, and tomato masala, portioned for a full casual-dining entrée.",4.4,Pinot Noir,Vegetarian,Medium,
FOOD-044,Saffron Table Bistro,Food,North Indian,Main,Subz Handi,"A hearty north indian main built around mixed vegetables simmered in cashew-onion gravy and whole spices, portioned for a full casual-dining entrée.",4.4,Masala Old Fashioned,Vegetarian,Mild,
FOOD-045,Saffron Table Bistro,Food,North Indian,Main,Smoky Soya Chaap Masala,"A hearty north indian main built around soya chaap in smoky tomato-cashew masala with fresh coriander, portioned for a full casual-dining entrée.",4.3,Tamarind Whiskey Sour,Vegetarian,Medium,
FOOD-046,Saffron Table Bistro,Food,North Indian,Dessert,Shahi Tukda,"A dessert inspired by north indian flavors with fried bread pudding with rabri, saffron, and toasted nuts, designed as a smooth and memorable finish.",4.4,Irish Cream Liqueur,Vegetarian,None,
FOOD-047,Saffron Table Bistro,Food,North Indian,Dessert,Kesari Phirni,"A dessert inspired by north indian flavors with creamy rice phirni scented with saffron and cardamom, designed as a smooth and memorable finish.",4.4,Spiced Mulled Wine,Vegetarian,None,
FOOD-048,Saffron Table Bistro,Food,North Indian,Dessert,Gajar Halwa Tart,"A dessert inspired by north indian flavors with carrot halwa baked into a buttery tart shell, designed as a smooth and memorable finish.",4.5,XO Brandy Pour,Vegetarian,None,
FOOD-049,Saffron Table Bistro,Food,North Indian,Dessert,Paan Kulfi Slice,"A dessert inspired by north indian flavors with creamy kulfi slice finished with paan reduction and fennel, designed as a smooth and memorable finish.",4.7,Coffee Liqueur Martini,Vegetarian,None,
FOOD-050,Saffron Table Bistro,Food,North Indian,Dessert,Kesar Rasmalai,"A dessert inspired by north indian flavors with soft rasmalai discs in saffron milk with pistachio garnish, designed as a smooth and memorable finish.",4.5,Irish Cream Liqueur,Vegetarian,None,
FOOD-051,Saffron Table Bistro,Food,Continental,Appetizer,Garlic Butter Prawn Cups,"A continental starter featuring butter-poached prawns served in crisp pastry cups with herbs, plated for easy sharing and bold first impressions.",4.3,Elderflower Collins,Seafood,Mild,
FOOD-052,Saffron Table Bistro,Food,Continental,Appetizer,Herb Crusted Mushrooms,"A continental starter featuring button mushrooms crusted with breadcrumbs, herbs, and parmesan, plated for easy sharing and bold first impressions.",4.2,Aperol Spritz,Vegetarian,Mild,
FOOD-053,Saffron Table Bistro,Food,Continental,Appetizer,Tomato Basil Bruschetta,"A continental starter featuring toasted bread topped with tomato concassé, basil, and olive oil, plated for easy sharing and bold first impressions.",4.3,Prosecco Brut,Vegetarian,Mild,
FOOD-054,Saffron Table Bistro,Food,Continental,Appetizer,Chicken Cordon Bites,"A continental starter featuring crispy chicken bites with cheese and smoked ham-style seasoning, plated for easy sharing and bold first impressions.",4.7,Sauvignon Blanc,Chicken,Mild,
FOOD-055,Saffron Table Bistro,Food,Continental,Appetizer,Crispy Polenta Fries,"A continental starter featuring golden polenta batons served with roasted pepper dip, plated for easy sharing and bold first impressions.",4.5,Elderflower Collins,Vegetarian,Mild,
FOOD-056,Saffron Table Bistro,Food,Continental,Appetizer,Smoked Salmon Rillettes,"A continental starter featuring smoked salmon spread with dill and lemon on toasted crostini, plated for easy sharing and bold first impressions.",4.5,Aperol Spritz,Seafood,Mild,
FOOD-057,Saffron Table Bistro,Food,Continental,Appetizer,Cheesy Spinach Vol-au-Vent,"A continental starter featuring flaky pastry shells filled with creamed spinach and cheese, plated for easy sharing and bold first impressions.",4.2,Prosecco Brut,Vegetarian,Mild,
FOOD-058,Saffron Table Bistro,Food,Continental,Appetizer,Roast Pumpkin Soup Shot,"A continental starter featuring silky roast pumpkin soup finished with cream and herbs, plated for easy sharing and bold first impressions.",4.5,Sauvignon Blanc,Vegetarian,Mild,
FOOD-059,Saffron Table Bistro,Food,Continental,Main,Herb Roasted Chicken with Jus,"A hearty continental main built around roast chicken breast with pan jus, mash, and seasonal vegetables, portioned for a full casual-dining entrée.",4.3,Smoked Negroni,Chicken,Mild,
FOOD-060,Saffron Table Bistro,Food,Continental,Main,Grilled Cottage Cheese Steak,"A hearty continental main built around herb-marinated cottage cheese steak with sautéed beans and mash, portioned for a full casual-dining entrée.",4.5,Pinot Noir,Vegetarian,Mild,
FOOD-061,Saffron Table Bistro,Food,Continental,Main,Mushroom Truffle Risotto,"A hearty continental main built around creamy arborio rice with mushrooms, parmesan, and truffle oil, portioned for a full casual-dining entrée.",4.9,Malbec Reserve,Vegetarian,Mild,
FOOD-062,Saffron Table Bistro,Food,Continental,Main,Pan Seared Fish with Lemon Butter,"A hearty continental main built around crisp-skinned fish over butter sauce and wilted greens, portioned for a full casual-dining entrée.",4.6,Sauvignon Blanc,Seafood,Mild,
FOOD-063,Saffron Table Bistro,Food,Continental,Main,Lamb in Red Wine Sauce,"A hearty continental main built around slow-cooked lamb finished with red wine reduction and root vegetables, portioned for a full casual-dining entrée.",4.6,Berry Basil Sangria,Lamb,Mild,
FOOD-064,Saffron Table Bistro,Food,Continental,Main,Vegetable Ratatouille Bake,"A hearty continental main built around baked zucchini, eggplant, tomato, and herbs in rustic style, portioned for a full casual-dining entrée.",4.7,Smoked Negroni,Vegetarian,Mild,
FOOD-065,Saffron Table Bistro,Food,Continental,Main,Chicken Schnitzel with Potato Mash,"A hearty continental main built around crumb-fried chicken cutlet with creamy mash and caper butter, portioned for a full casual-dining entrée.",4.8,Pinot Noir,Chicken,Mild,
FOOD-066,Saffron Table Bistro,Food,Continental,Main,Baked Mac and Cheese Gratin,"A hearty continental main built around cheese-rich macaroni gratin with toasted crumb topping, portioned for a full casual-dining entrée.",4.7,Malbec Reserve,Vegetarian,Mild,
FOOD-067,Saffron Table Bistro,Food,Continental,Main,Pepper Crusted Tenderloin,"A hearty continental main built around pepper-crusted beef with jus and buttered vegetables, portioned for a full casual-dining entrée.",4.4,Sauvignon Blanc,Beef,Medium,
FOOD-068,Saffron Table Bistro,Food,Continental,Main,Spinach Ricotta Cannelloni,"A hearty continental main built around pasta tubes filled with spinach and ricotta in tomato cream sauce, portioned for a full casual-dining entrée.",4.2,Berry Basil Sangria,Vegetarian,Mild,
FOOD-069,Saffron Table Bistro,Food,Continental,Main,Creamy Dijon Chicken,"A hearty continental main built around seared chicken in dijon mustard cream with herb rice, portioned for a full casual-dining entrée.",4.4,Smoked Negroni,Chicken,Mild,
FOOD-070,Saffron Table Bistro,Food,Continental,Main,Grilled Vegetable Couscous Plate,"A hearty continental main built around chargrilled vegetables over herbed couscous with olive oil finish, portioned for a full casual-dining entrée.",4.4,Pinot Noir,Vegetarian,Mild,
FOOD-071,Saffron Table Bistro,Food,Continental,Dessert,Classic Crème Brûlée,"A dessert inspired by continental flavors with vanilla custard finished with a crisp caramelized sugar top, designed as a smooth and memorable finish.",4.4,Irish Cream Liqueur,Vegetarian,None,
FOOD-072,Saffron Table Bistro,Food,Continental,Dessert,Apple Cinnamon Tart,"A dessert inspired by continental flavors with butter pastry tart with apple slices and cinnamon glaze, designed as a smooth and memorable finish.",4.9,Coffee Liqueur Martini,Vegetarian,None,
FOOD-073,Saffron Table Bistro,Food,Continental,Dessert,Dark Chocolate Mousse,"A dessert inspired by continental flavors with airy dark chocolate mousse with cocoa nib crunch, designed as a smooth and memorable finish.",4.8,Prosecco Brut,Vegetarian,None,
FOOD-074,Saffron Table Bistro,Food,Continental,Dessert,Berry Panna Cotta,"A dessert inspired by continental flavors with silky panna cotta topped with berry compote and mint, designed as a smooth and memorable finish.",4.5,XO Brandy Pour,Vegetarian,None,
FOOD-075,Saffron Table Bistro,Food,Continental,Dessert,Lemon Posset Jar,"A dessert inspired by continental flavors with smooth lemon cream set dessert with biscuit crumble, designed as a smooth and memorable finish.",4.7,Irish Cream Liqueur,Vegetarian,None,
FOOD-076,Saffron Table Bistro,Food,Japanese,Appetizer,Edamame Sea Salt Toss,"A japanese starter featuring steamed edamame tossed with sea salt and sesame, plated for easy sharing and bold first impressions.",4.3,Plum Sake Cooler,Vegetarian,Mild,
FOOD-077,Saffron Table Bistro,Food,Japanese,Appetizer,Vegetable Tempura Basket,"A japanese starter featuring lightly battered seasonal vegetables with tentsuyu dip, plated for easy sharing and bold first impressions.",4.6,Yuzu Spritz,Vegetarian,Mild,
FOOD-078,Saffron Table Bistro,Food,Japanese,Appetizer,Chicken Gyoza,"A japanese starter featuring pan-seared chicken dumplings with soy-vinegar dipping sauce, plated for easy sharing and bold first impressions.",4.4,Japanese Rice Lager,Chicken,Mild,
FOOD-079,Saffron Table Bistro,Food,Japanese,Appetizer,Spicy Tuna Crispy Rice,"A japanese starter featuring crispy rice cakes topped with spicy tuna and scallions, plated for easy sharing and bold first impressions.",4.3,Sauvignon Blanc,Seafood,Medium,
FOOD-080,Saffron Table Bistro,Food,Japanese,Appetizer,Salmon Tataki,"A japanese starter featuring lightly seared salmon slices with ponzu and microgreens, plated for easy sharing and bold first impressions.",4.2,Plum Sake Cooler,Seafood,Mild,
FOOD-081,Saffron Table Bistro,Food,Japanese,Appetizer,Yasai Miso Skewers,"A japanese starter featuring grilled vegetables glazed with sweet miso and sesame, plated for easy sharing and bold first impressions.",4.4,Yuzu Spritz,Vegetarian,Mild,
FOOD-082,Saffron Table Bistro,Food,Japanese,Appetizer,Prawn Katsu Pops,"A japanese starter featuring crisp breaded prawn pops with tonkatsu mayo, plated for easy sharing and bold first impressions.",4.3,Japanese Rice Lager,Seafood,Mild,
FOOD-083,Saffron Table Bistro,Food,Japanese,Appetizer,Tofu Agedashi Cups,"A japanese starter featuring fried tofu in light dashi broth with ginger and spring onion, plated for easy sharing and bold first impressions.",4.5,Sauvignon Blanc,Vegetarian,Mild,
FOOD-084,Saffron Table Bistro,Food,Japanese,Main,Salmon Teriyaki Don,"A hearty japanese main built around teriyaki salmon over steamed rice with pickles and sesame, portioned for a full casual-dining entrée.",4.8,Plum Sake Cooler,Seafood,Mild,
FOOD-085,Saffron Table Bistro,Food,Japanese,Main,Chicken Katsu Curry,"A hearty japanese main built around crumb-fried chicken cutlet with Japanese curry sauce and rice, portioned for a full casual-dining entrée.",4.5,Japanese Rice Lager,Chicken,Mild,
FOOD-086,Saffron Table Bistro,Food,Japanese,Main,Vegetable Yakisoba,"A hearty japanese main built around stir-fried noodles with vegetables, soy glaze, and scallions, portioned for a full casual-dining entrée.",4.4,Sauvignon Blanc,Vegetarian,Mild,
FOOD-087,Saffron Table Bistro,Food,Japanese,Main,Beef Teppanyaki Bowl,"A hearty japanese main built around seared beef strips with garlic rice and sautéed vegetables, portioned for a full casual-dining entrée.",4.9,Yuzu Spritz,Beef,Medium,
FOOD-088,Saffron Table Bistro,Food,Japanese,Main,Mushroom Udon in Broth,"A hearty japanese main built around thick udon noodles in light broth with mushrooms and greens, portioned for a full casual-dining entrée.",4.6,Pinot Noir,Vegetarian,Mild,
FOOD-089,Saffron Table Bistro,Food,Japanese,Main,Prawn Tempura Roll Platter,"A hearty japanese main built around sushi rolls layered with prawn tempura, avocado, and mayo, portioned for a full casual-dining entrée.",4.3,Plum Sake Cooler,Seafood,Mild,
FOOD-090,Saffron Table Bistro,Food,Japanese,Main,Miso Glazed Cod,"A hearty japanese main built around baked cod finished with sweet miso glaze and greens, portioned for a full casual-dining entrée.",4.2,Japanese Rice Lager,Seafood,Mild,
FOOD-091,Saffron Table Bistro,Food,Japanese,Main,Tofu Teriyaki Rice Bowl,"A hearty japanese main built around crispy tofu glazed in teriyaki and served over rice, portioned for a full casual-dining entrée.",4.3,Sauvignon Blanc,Vegetarian,Mild,
FOOD-092,Saffron Table Bistro,Food,Japanese,Main,Spicy Chicken Ramen,"A hearty japanese main built around ramen noodles in rich broth with sliced chicken and chili oil, portioned for a full casual-dining entrée.",4.6,Yuzu Spritz,Chicken,Medium,
FOOD-093,Saffron Table Bistro,Food,Japanese,Main,Truffle Mushroom Sushi Roll,"A hearty japanese main built around umami-packed sushi roll with truffle mushroom filling, portioned for a full casual-dining entrée.",4.8,Pinot Noir,Vegetarian,Mild,
FOOD-094,Saffron Table Bistro,Food,Japanese,Main,Garlic Fried Rice with Yakitori,"A hearty japanese main built around garlic fried rice paired with soy-glazed chicken skewers, portioned for a full casual-dining entrée.",4.5,Plum Sake Cooler,Chicken,Mild,
FOOD-095,Saffron Table Bistro,Food,Japanese,Main,Soba Noodle Sesame Salad,"A hearty japanese main built around cold soba noodles with sesame dressing and crisp vegetables, portioned for a full casual-dining entrée.",4.2,Japanese Rice Lager,Vegetarian,Mild,
FOOD-096,Saffron Table Bistro,Food,Japanese,Dessert,Matcha Tiramisu,"A dessert inspired by japanese flavors with matcha-soaked sponge layered with mascarpone cream, designed as a smooth and memorable finish.",4.5,Prosecco Brut,Vegetarian,None,
FOOD-097,Saffron Table Bistro,Food,Japanese,Dessert,Black Sesame Cheesecake,"A dessert inspired by japanese flavors with creamy cheesecake with nutty black sesame finish, designed as a smooth and memorable finish.",4.9,Irish Cream Liqueur,Vegetarian,None,
FOOD-098,Saffron Table Bistro,Food,Japanese,Dessert,Yuzu Panna Cotta,"A dessert inspired by japanese flavors with soft panna cotta brightened with yuzu and citrus gel, designed as a smooth and memorable finish.",4.6,Coffee Liqueur Martini,Vegetarian,None,
FOOD-099,Saffron Table Bistro,Food,Japanese,Dessert,Mochi Ice Cream Trio,"A dessert inspired by japanese flavors with three assorted mochi ice cream pieces with seasonal flavors, designed as a smooth and memorable finish.",4.9,Elderflower Collins,Vegetarian,None,
FOOD-100,Saffron Table Bistro,Food,Japanese,Dessert,Hojicha Crème Caramel,"A dessert inspired by japanese flavors with caramel custard infused with roasted hojicha tea, designed as a smooth and memorable finish.",4.8,Prosecco Brut,Vegetarian,None,
FOOD-101,Saffron Table Bistro,Food,Chinese,Appetizer,Chilli Garlic Mushroom,"A chinese starter featuring wok-tossed mushrooms glazed in chili garlic sauce, plated for easy sharing and bold first impressions.",4.1,Lychee Martini,Vegetarian,Medium,
FOOD-102,Saffron Table Bistro,Food,Chinese,Appetizer,Honey Sesame Lotus Stem,"A chinese starter featuring crispy lotus stem tossed with honey, sesame, and chili, plated for easy sharing and bold first impressions.",4.5,Craft IPA,Vegetarian,Mild,
FOOD-103,Saffron Table Bistro,Food,Chinese,Appetizer,Dragon Chicken,"A chinese starter featuring crisp chicken strips finished in spicy sweet dragon sauce, plated for easy sharing and bold first impressions.",4.5,Yuzu Spritz,Chicken,Hot,
FOOD-104,Saffron Table Bistro,Food,Chinese,Appetizer,Crispy Corn Pepper Salt,"A chinese starter featuring fried sweet corn tossed with pepper salt and scallions, plated for easy sharing and bold first impressions.",4.4,Japanese Rice Lager,Vegetarian,Mild,
FOOD-105,Saffron Table Bistro,Food,Chinese,Appetizer,Prawn Spring Rolls,"A chinese starter featuring golden spring rolls filled with prawns and crunchy vegetables, plated for easy sharing and bold first impressions.",4.3,Lychee Martini,Seafood,Mild,
FOOD-106,Saffron Table Bistro,Food,Chinese,Appetizer,Schezwan Paneer Cigars,"A chinese starter featuring crisp filo cigars with paneer and schezwan filling, plated for easy sharing and bold first impressions.",4.5,Craft IPA,Vegetarian,Medium,
FOOD-107,Saffron Table Bistro,Food,Chinese,Appetizer,Chicken Wonton Cups,"A chinese starter featuring crisp wonton cups filled with savory chicken and vegetables, plated for easy sharing and bold first impressions.",4.2,Yuzu Spritz,Chicken,Mild,
FOOD-108,Saffron Table Bistro,Food,Chinese,Appetizer,Kung Pao Cauliflower Bites,"A chinese starter featuring fried cauliflower bites tossed in kung pao glaze, plated for easy sharing and bold first impressions.",4.4,Japanese Rice Lager,Vegetarian,Medium,
FOOD-109,Saffron Table Bistro,Food,Chinese,Main,Veg Manchurian with Fried Rice,"A hearty chinese main built around vegetable dumplings in savory sauce with wok-fried rice, portioned for a full casual-dining entrée.",4.5,Craft IPA,Vegetarian,Medium,
FOOD-110,Saffron Table Bistro,Food,Chinese,Main,Hakka Noodles with Tofu,"A hearty chinese main built around hakka noodles stir-fried with tofu, vegetables, and soy, portioned for a full casual-dining entrée.",4.9,Lychee Martini,Vegetarian,Mild,
FOOD-111,Saffron Table Bistro,Food,Chinese,Main,Black Bean Chicken,"A hearty chinese main built around chicken pieces cooked with fermented black bean sauce and peppers, portioned for a full casual-dining entrée.",4.8,Pinot Noir,Chicken,Medium,
FOOD-112,Saffron Table Bistro,Food,Chinese,Main,Cantonese Fish in Ginger Soy,"A hearty chinese main built around steamed fish with ginger soy dressing and spring onion, portioned for a full casual-dining entrée.",4.4,Sauvignon Blanc,Seafood,Mild,
FOOD-113,Saffron Table Bistro,Food,Chinese,Main,Mapo Tofu Mild,"A hearty chinese main built around soft tofu in a toned-down mapo sauce with peppercorn aroma, portioned for a full casual-dining entrée.",4.6,Smoked Negroni,Vegetarian,Medium,
